缑唐杂	RB000	RB0000000	男	2003-01-06	18214481550	陕西省咸阳市渭城区928号	42
五微朵	RB000	RB0000001	男	2000-11-17	13238673977	山东省潍坊市安丘市680号	17
桑轮昌	RB000	RB0000002	女	2001-11-06	18194356163	云南省昆明市呈贡区202号	6
应止粘	RB000	RB0000003	女	2000-10-12	15015836064	湖南省常德市安乡县973号	61
汝命魔	RB000	RB0000004	女	2000-08-10	13574273034	安徽省淮南市八公山区282号	9
尹搭庙	RB000	RB0000005	女	2002-07-08	18057266389	陕西省渭南市826号	55
蓬未绍	RB000	RB0000006	女	2000-11-27	13141090305	湖南省衡阳市常宁市121号	42
璩珠方	RB000	RB0000007	女	2000-11-28	15930723620	山东省菏泽市鄄城县925号	21
申老脱	RB000	RB0000008	女	2001-04-27	13968802050	新疆维吾尔自治区和田地区墨玉县382号	40
彭楚础	RB000	RB0000009	男	2002-11-25	17670952617	广东省惠州市惠东县058号	56
容谢晓	RB000	RB0000010	女	2003-01-16	13850557592	内蒙古自治区通辽市扎鲁特旗058号	35
江扒悲	RB000	RB0000011	男	2001-01-28	17680909980	江苏省扬州市717号	93
红丁监	RB000	RB0000012	男	2001-04-30	14599541020	江西省九江市彭泽县878号	76
甘篮晒	RB000	RB0000013	男	2002-01-26	13684002494	内蒙古自治区巴彦淖尔市497号	31
福鸣复	RB000	RB0000014	女	2001-10-13	18214193005	新疆维吾尔自治区乌鲁木齐市新市区408号	41
费被世	RB000	RB0000015	女	2000-05-28	18713443292	山西省运城市平陆县745号	44
国领耐	RB000	RB0000016	女	2000-07-27	17078432716	四川省甘孜藏族自治州丹巴县987号	67
良锡拣	RB000	RB0000017	女	2000-12-02	15260576896	云南省大理白族自治州南涧彝族自治县931号	9
华浊象	RB000	RB0000018	女	2001-11-27	17745629142	云南省昭通市永善县485号	33
公苹爆	RB000	RB0000019	男	2001-03-07	17647625400	云南省临沧市临翔区037号	71
壤雁剪	RB000	RB0000020	男	2000-09-24	13721862044	北京市昌平区043号	49
巫疲踢	RB000	RB0000021	男	2003-02-15	13051106303	广东省湛江市廉江市921号	72
笪字丁	RB000	RB0000022	女	2002-09-11	13080480733	湖南省怀化市芷江侗族自治县023号	65
云码神	RB000	RB0000023	男	2001-01-28	18714103368	黑龙江省双鸭山市岭东区051号	67
吕土岁	RB000	RB0000024	女	2001-11-08	18284443492	山西省阳泉市362号	8
晏栋良	RB000	RB0000025	女	2000-07-02	15730711329	云南省德宏傣族景颇族自治州盈江县049号	52
延斥梨	RB000	RB0000026	男	2003-02-04	18522502175	山东省德州市武城县036号	9
宋远难	RB000	RB0000027	女	2001-02-18	18331659971	浙江省金华市浦江县141号	82
桓卷乏	RB000	RB0000028	女	2002-11-16	18301216770	河北省沧州市东光县497号	47
丌型员	RB000	RB0000029	男	2002-12-29	13153195865	广西壮族自治区桂林市象山区498号	65
柴颠脑	RB000	RB0000030	男	2001-09-15	17770534978	四川省凉山彝族自治州喜德县052号	50
姜菌丑	RB000	RB0000031	女	2003-03-10	13378228386	河北省衡水市556号	77
钱鹊丁	RB000	RB0000032	男	2000-11-10	15825361437	甘肃省庆阳市镇原县757号	53
鲁也祝	RB000	RB0000033	女	2002-11-13	18958501101	吉林省长春市农安县092号	5
郜稍卜	RB000	RB0000034	男	2002-03-13	18492938603	河北省邢台市南宫市333号	29
巫绢贫	RB000	RB0000035	男	2002-03-22	13399876379	山东省临沂市兰陵县537号	15
陈冠企	RB000	RB0000036	男	2002-11-27	17896532405	吉林省吉林市丰满区893号	35
钱吉滑	RB000	RB0000037	男	2002-10-02	13774912575	云南省丽江市166号	9
连试消	RB000	RB0000038	男	2002-09-22	18425570275	广东省广州市黄埔区852号	55
家待匙	RB000	RB0000039	男	2001-03-03	13316881379	山西省运城市稷山县106号	92
卞耻援	RB000	RB0000040	男	2000-12-13	15537537425	安徽省芜湖市镜湖区633号	70
秋柏姥	RB000	RB0000041	女	2002-02-27	13966944488	辽宁省辽阳市太子河区543号	59
阙睬仙	RB000	RB0000042	女	2001-03-19	17041218813	内蒙古自治区呼伦贝尔市额尔古纳市669号	55
窦悼益	RB000	RB0000043	男	2002-09-29	13251398665	湖南省岳阳市华容县410号	35
席淋平	RB000	RB0000044	女	2001-09-03	15382740126	安徽省合肥市巢湖市139号	7
朱荡京	RB000	RB0000045	男	2002-03-02	13974962429	贵州省黔南布依族苗族自治州罗甸县707号	96
于航腾	RB000	RB0000046	女	2000-10-20	13953280007	黑龙江省佳木斯市桦南县955号	45
百肉名	RB000	RB0000047	男	2003-04-13	18514192027	广西壮族自治区桂林市739号	81
延筛房	RB000	RB0000048	女	2001-05-08	18542252171	海南省三亚市海棠区515号	27
欧叹躬	RB000	RB0000049	女	2002-09-08	15683026335	云南省曲靖市富源县687号	77
司绢仇	RB000	RB0000050	女	2002-09-22	18700771512	湖北省襄阳市保康县867号	96
刘迅试	RB000	RB0000051	男	2000-06-17	13176089139	四川省德阳市绵竹市657号	56
